image_url,scientific_name,genus,specific_epithet,year,habitat,county
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002452.jpg,Sisyrinchium campestre,Sisyrinchium,campestre,1890,sandy soil,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002292.jpg,Salix lucida var. serissima,Salix,lucida,1886,,Saint Louis
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000344.jpg,Astragalus elatiocarpus,Astragalus,elatiocarpus,1892,"Sandy ""throw-ups"" on the shores",Otter Tail
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001600.jpg,Lacinaria scariosa var. porrecta,Lacinaria,scariosa,1911,,Todd
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001574.jpg,Lacinaria scariosa var. superscandens,Lacinaria,scariosa,1911,In dry sandy soil,Todd
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127629.jpg,Amelanchier interior,Amelanchier,interior,1935,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01127/1127901.jpg,Stachys borealis,Stachys,borealis,1878,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000246.jpg,Aristida basiramea,Aristida,basiramea,1884,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002372.jpg,Scirpus lacustris var. tenuiculmis,Scirpus,lacustris,1892,,Kanabec
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000569.jpg,Carex pinguis,Carex,pinguis,1886,,Saint Louis
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002376.jpg,Scirpus lacustris var. tenuiculmis,Scirpus,lacustris,1895,,Pipestone
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002374.jpg,Scirpus lacustris var. tenuiculmis,Scirpus,lacustris,1892,,Mille Lacs
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01002/1002373.jpg,Scirpus lacustris var. tenuiculmis,Scirpus,lacustris,1892,,Kanabec
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000131.jpg,Amelanchier interior,Amelanchier,interior,1935,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001533.jpg,Lacinaria rosendahlii,Lacinaria,rosendahlii,1927,Sand dunes,Anoka
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01000/1000132.jpg,Amelanchier interior,Amelanchier,interior,1935,,Hennepin
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01001/1001540.jpg,Lacinaria densispicata,Lacinaria,densispicata,1927,Sand dunes,Anoka
https://s3.msi.umn.edu/mbaenrms3fs/images/MIN_Plants/01025/1025077.jpg,Amelanchier humilis var. campestris,Amelanchier,humilis,1935,,Lincoln
